SHITOMASI,BRISK,366.285,370.378,364.969,356.25,363.45,365.581,370.177,368.369,363.362
SHITOMASI,BRIEF,28.9851,28.9502,29.421,28.4481,28.3939,30.1844,28.8138,28.5457,27.0149
SHITOMASI,ORB,29.4755,28.3518,28.4538,29.8754,29.0279,28.8227,29.0977,30.7016,27.8302
SHITOMASI,FREAK,68.6146,63.0452,64.0332,66.7698,64.2949,63.0614,62.8321,64.0848,63.6239
HARRIS,BRISK,355.252,356.928,353.723,357.129,369.735,351.345,354.866,360.338,365.776
HARRIS,BRIEF,21.7653,21.5766,21.8582,21.6764,38.6132,21.8998,25.4265,24.4936,28.8987
HARRIS,ORB,23.0807,23.6432,23.72,24.0069,39.2318,21.8016,24.5845,23.8784,28.7705
HARRIS,FREAK,61.8482,63.3452,62.4174,62.9939,76.2793,62.2193,64.9552,63.0208,67.9051
FAST,BRISK,351.411,349.203,349.208,347.155,350.03,349.593,348.27,350.509,350.386
FAST,BRIEF,14.4748,14.0269,13.903,14.6337,14.286,15.343,13.8435,14.5278,13.9084
FAST,ORB,14.2071,14.9675,14.5059,15.2509,14.5437,15.2289,13.8224,14.5477,13.8632
FAST,FREAK,55.8214,56.1202,59.4118,58.6718,60.693,58.5312,56.1733,57.1622,55.8713
BRISK,BRISK,719.939,719.113,725.071,725.931,734.487,716.665,722.147,725.687,719.66
BRISK,BRIEF,387.728,387.375,387.598,389.003,386.77,386.173,385.11,389.276,390.409
BRISK,ORB,387.432,391.647,387.172,388.662,388.538,390.62,383.502,386.274,386.221
BRISK,FREAK,429.304,426.044,425.589,431.649,431.203,432.019,433.775,428.29,432.484
ORB,BRISK,348.163,349.059,349.835,351.034,351.961,348.743,346.762,351.912,350.204
ORB,BRIEF,19.3439,16.6097,16.7527,16.5852,16.8661,17.2476,17.4521,18.9999,17.0905
ORB,ORB,16.5956,17.2186,17.2501,16.8695,17.2193,17.1188,18.1924,17.2376,17.2522
ORB,FREAK,56.7917,57.5433,56.559,57.4599,57.865,59.1882,57.5429,57.4843,59.0854
AKAZE,BRISK,411.781,418.712,424.073,425.196,424.591,422.902,417.35,424.14,417.8
AKAZE,BRIEF,80.5827,83.2824,84.3952,83.221,84.0877,84.6529,86.9041,86.3011,79.8876
AKAZE,ORB,86.6018,89.8448,82.7054,85.4521,86.4968,80.7931,81.3817,78.943,89.1851
AKAZE,FREAK,129.692,130.089,125.275,122.82,130.367,126.909,130.756,130.978,125.101
SIFT,SIFT,164.409,165.37,160.673,165.005,160.93,168.834,163.823,164.222,161.888
